id,title,category,mode,kind,family_id,variant,status,size,model,requires,prompt
product-sneaker-editorial,运动鞋细节 · 编辑精选,product,generate,variation,product-sneaker,editorial,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：一双灰白跑鞋，针织鞋面、半透明中底、橡胶纹理。
构图与视觉：低机位侧视，一只完整展示另一只稍后错开，柔和棚拍。
必须遵守：保持两只鞋款式一致，鞋带路径合理。
版本要求：用于编辑精选展示。保留主要内容和媒介，删减非必要的背景装饰，让主视觉与次要细节的层级更鲜明。不要删除任务要求的文字、对象或图解关系。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
product-sneaker-thumbnail,运动鞋细节 · 缩略图优先,product,generate,variation,product-sneaker,thumbnail,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：一双灰白跑鞋，针织鞋面、半透明中底、橡胶纹理。
构图与视觉：低机位侧视，一只完整展示另一只稍后错开，柔和棚拍。
必须遵守：保持两只鞋款式一致，鞋带路径合理。
版本要求：用于缩略图浏览。通过更清晰的轮廓、主体与背景明暗分离来提升识别度；弱化非必要微小纹理，保留所有必要文字和完整主体。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
product-sneaker-detail,运动鞋细节 · 细节呈现,product,generate,variation,product-sneaker,detail,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：一双灰白跑鞋，针织鞋面、半透明中底、橡胶纹理。
构图与视觉：低机位侧视，一只完整展示另一只稍后错开，柔和棚拍。
必须遵守：保持两只鞋款式一致，鞋带路径合理。
版本要求：用于近距离查看。提升材质边缘、结构交界和局部细节的可辨性；沿用原构图和对象数量，不通过堆叠装饰来增加细节。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
product-sneaker-quiet,运动鞋细节 · 克制留白,product,generate,variation,product-sneaker,quiet,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：一双灰白跑鞋，针织鞋面、半透明中底、橡胶纹理。
构图与视觉：低机位侧视，一只完整展示另一只稍后错开，柔和棚拍。
必须遵守：保持两只鞋款式一致，鞋带路径合理。
版本要求：用于安静、克制的视觉呈现。减少背景纹理和非必要装饰，强化负空间；保留必要的标签、关系、物件与原有视觉媒介。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
product-sneaker-presentation,运动鞋细节 · 演示使用,product,generate,variation,product-sneaker,presentation,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：一双灰白跑鞋，针织鞋面、半透明中底、橡胶纹理。
构图与视觉：低机位侧视，一只完整展示另一只稍后错开，柔和棚拍。
必须遵守：保持两只鞋款式一致，鞋带路径合理。
版本要求：用于演示页面。确保远距离观看时主体层次仍然明确，必要文字清楚，信息区域之间有充足间距；不添加新的标题、数据或图例。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
product-sneaker-print,运动鞋细节 · 印刷审阅,product,generate,variation,product-sneaker,print,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：一双灰白跑鞋，针织鞋面、半透明中底、橡胶纹理。
构图与视觉：低机位侧视，一只完整展示另一只稍后错开，柔和棚拍。
必须遵守：保持两只鞋款式一致，鞋带路径合理。
版本要求：用于印刷前视觉审阅。避免暗部完全糊成一片与高光大面积纯白溢出，保留边缘和细节；保持既有色板。本图仍是栅格概念，不声称已满足印刷色彩或出血规格。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
product-sneaker-accessible,运动鞋细节 · 清晰辨识,product,generate,variation,product-sneaker,accessible,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：一双灰白跑鞋，针织鞋面、半透明中底、橡胶纹理。
构图与视觉：低机位侧视，一只完整展示另一只稍后错开，柔和棚拍。
必须遵守：保持两只鞋款式一致，鞋带路径合理。
版本要求：用于清晰辨识的设计版本。相邻重要元素除颜色差异外，还需有轮廓或明度差异；必要文字与底色对比充分，不凭色彩单独编码语义。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
product-sneaker-balanced,运动鞋细节 · 均衡层次,product,generate,variation,product-sneaker,balanced,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：一双灰白跑鞋，针织鞋面、半透明中底、橡胶纹理。
构图与视觉：低机位侧视，一只完整展示另一只稍后错开，柔和棚拍。
必须遵守：保持两只鞋款式一致，鞋带路径合理。
版本要求：用于均衡层次的呈现。控制前中后景或主次信息的视觉权重，避免边缘装饰抢占注意力，保留全部关键对象、文字与关系。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
product-sneaker-clean,运动鞋细节 · 干净收尾,product,generate,variation,product-sneaker,clean,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：一双灰白跑鞋，针织鞋面、半透明中底、橡胶纹理。
构图与视觉：低机位侧视，一只完整展示另一只稍后错开，柔和棚拍。
必须遵守：保持两只鞋款式一致，鞋带路径合理。
版本要求：用于清理视觉瑕疵后的版本。重点消除不必要的重影、断裂边缘、融合物件和伪文字；不改变指定内容，不新增解释性元素。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
product-watch,腕表微距,product,generate,original,product-watch,base,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：一只无品牌机械腕表，拉丝钢表壳、深蓝表盘、皮质表带。
构图与视觉：四十五度微距，控制镜面反射，让指针和刻度可辨。
必须遵守：不出现互相矛盾的刻度，不新增品牌文字。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
product-watch-editorial,腕表微距 · 编辑精选,product,generate,variation,product-watch,editorial,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：一只无品牌机械腕表，拉丝钢表壳、深蓝表盘、皮质表带。
构图与视觉：四十五度微距，控制镜面反射，让指针和刻度可辨。
必须遵守：不出现互相矛盾的刻度，不新增品牌文字。
版本要求：用于编辑精选展示。保留主要内容和媒介，删减非必要的背景装饰，让主视觉与次要细节的层级更鲜明。不要删除任务要求的文字、对象或图解关系。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
product-watch-thumbnail,腕表微距 · 缩略图优先,product,generate,variation,product-watch,thumbnail,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：一只无品牌机械腕表，拉丝钢表壳、深蓝表盘、皮质表带。
构图与视觉：四十五度微距，控制镜面反射，让指针和刻度可辨。
必须遵守：不出现互相矛盾的刻度，不新增品牌文字。
版本要求：用于缩略图浏览。通过更清晰的轮廓、主体与背景明暗分离来提升识别度；弱化非必要微小纹理，保留所有必要文字和完整主体。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
product-watch-detail,腕表微距 · 细节呈现,product,generate,variation,product-watch,detail,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：一只无品牌机械腕表，拉丝钢表壳、深蓝表盘、皮质表带。
构图与视觉：四十五度微距，控制镜面反射，让指针和刻度可辨。
必须遵守：不出现互相矛盾的刻度，不新增品牌文字。
版本要求：用于近距离查看。提升材质边缘、结构交界和局部细节的可辨性；沿用原构图和对象数量，不通过堆叠装饰来增加细节。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
product-watch-quiet,腕表微距 · 克制留白,product,generate,variation,product-watch,quiet,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：一只无品牌机械腕表，拉丝钢表壳、深蓝表盘、皮质表带。
构图与视觉：四十五度微距，控制镜面反射，让指针和刻度可辨。
必须遵守：不出现互相矛盾的刻度，不新增品牌文字。
版本要求：用于安静、克制的视觉呈现。减少背景纹理和非必要装饰，强化负空间；保留必要的标签、关系、物件与原有视觉媒介。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
product-watch-presentation,腕表微距 · 演示使用,product,generate,variation,product-watch,presentation,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：一只无品牌机械腕表，拉丝钢表壳、深蓝表盘、皮质表带。
构图与视觉：四十五度微距，控制镜面反射，让指针和刻度可辨。
必须遵守：不出现互相矛盾的刻度，不新增品牌文字。
版本要求：用于演示页面。确保远距离观看时主体层次仍然明确，必要文字清楚，信息区域之间有充足间距；不添加新的标题、数据或图例。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
product-watch-print,腕表微距 · 印刷审阅,product,generate,variation,product-watch,print,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：一只无品牌机械腕表，拉丝钢表壳、深蓝表盘、皮质表带。
构图与视觉：四十五度微距，控制镜面反射，让指针和刻度可辨。
必须遵守：不出现互相矛盾的刻度，不新增品牌文字。
版本要求：用于印刷前视觉审阅。避免暗部完全糊成一片与高光大面积纯白溢出，保留边缘和细节；保持既有色板。本图仍是栅格概念，不声称已满足印刷色彩或出血规格。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
product-watch-accessible,腕表微距 · 清晰辨识,product,generate,variation,product-watch,accessible,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：一只无品牌机械腕表，拉丝钢表壳、深蓝表盘、皮质表带。
构图与视觉：四十五度微距，控制镜面反射，让指针和刻度可辨。
必须遵守：不出现互相矛盾的刻度，不新增品牌文字。
版本要求：用于清晰辨识的设计版本。相邻重要元素除颜色差异外，还需有轮廓或明度差异；必要文字与底色对比充分，不凭色彩单独编码语义。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
product-watch-balanced,腕表微距 · 均衡层次,product,generate,variation,product-watch,balanced,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：一只无品牌机械腕表，拉丝钢表壳、深蓝表盘、皮质表带。
构图与视觉：四十五度微距，控制镜面反射，让指针和刻度可辨。
必须遵守：不出现互相矛盾的刻度，不新增品牌文字。
版本要求：用于均衡层次的呈现。控制前中后景或主次信息的视觉权重，避免边缘装饰抢占注意力，保留全部关键对象、文字与关系。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
product-watch-clean,腕表微距 · 干净收尾,product,generate,variation,product-watch,clean,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：一只无品牌机械腕表，拉丝钢表壳、深蓝表盘、皮质表带。
构图与视觉：四十五度微距，控制镜面反射，让指针和刻度可辨。
必须遵守：不出现互相矛盾的刻度，不新增品牌文字。
版本要求：用于清理视觉瑕疵后的版本。重点消除不必要的重影、断裂边缘、融合物件和伪文字；不改变指定内容，不新增解释性元素。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
product-ceramic,手作陶器,product,generate,original,product-ceramic,base,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：一只带自然釉色变化的手作陶杯，置于浅色亚麻桌布。
构图与视觉：窗边侧光，近景浅景深，保留杯口和把手完整轮廓。
必须遵守：杯口厚度合理，避免把釉色纹理画成裂缝。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
product-ceramic-editorial,手作陶器 · 编辑精选,product,generate,variation,product-ceramic,editorial,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：一只带自然釉色变化的手作陶杯，置于浅色亚麻桌布。
构图与视觉：窗边侧光，近景浅景深，保留杯口和把手完整轮廓。
必须遵守：杯口厚度合理，避免把釉色纹理画成裂缝。
版本要求：用于编辑精选展示。保留主要内容和媒介，删减非必要的背景装饰，让主视觉与次要细节的层级更鲜明。不要删除任务要求的文字、对象或图解关系。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
product-ceramic-thumbnail,手作陶器 · 缩略图优先,product,generate,variation,product-ceramic,thumbnail,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：一只带自然釉色变化的手作陶杯，置于浅色亚麻桌布。
构图与视觉：窗边侧光，近景浅景深，保留杯口和把手完整轮廓。
必须遵守：杯口厚度合理，避免把釉色纹理画成裂缝。
版本要求：用于缩略图浏览。通过更清晰的轮廓、主体与背景明暗分离来提升识别度；弱化非必要微小纹理，保留所有必要文字和完整主体。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
product-ceramic-detail,手作陶器 · 细节呈现,product,generate,variation,product-ceramic,detail,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：一只带自然釉色变化的手作陶杯，置于浅色亚麻桌布。
构图与视觉：窗边侧光，近景浅景深，保留杯口和把手完整轮廓。
必须遵守：杯口厚度合理，避免把釉色纹理画成裂缝。
版本要求：用于近距离查看。提升材质边缘、结构交界和局部细节的可辨性；沿用原构图和对象数量，不通过堆叠装饰来增加细节。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
product-ceramic-quiet,手作陶器 · 克制留白,product,generate,variation,product-ceramic,quiet,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：一只带自然釉色变化的手作陶杯，置于浅色亚麻桌布。
构图与视觉：窗边侧光，近景浅景深，保留杯口和把手完整轮廓。
必须遵守：杯口厚度合理，避免把釉色纹理画成裂缝。
版本要求：用于安静、克制的视觉呈现。减少背景纹理和非必要装饰，强化负空间；保留必要的标签、关系、物件与原有视觉媒介。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
product-ceramic-presentation,手作陶器 · 演示使用,product,generate,variation,product-ceramic,presentation,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：一只带自然釉色变化的手作陶杯，置于浅色亚麻桌布。
构图与视觉：窗边侧光，近景浅景深，保留杯口和把手完整轮廓。
必须遵守：杯口厚度合理，避免把釉色纹理画成裂缝。
版本要求：用于演示页面。确保远距离观看时主体层次仍然明确，必要文字清楚，信息区域之间有充足间距；不添加新的标题、数据或图例。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
product-ceramic-print,手作陶器 · 印刷审阅,product,generate,variation,product-ceramic,print,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：一只带自然釉色变化的手作陶杯，置于浅色亚麻桌布。
构图与视觉：窗边侧光，近景浅景深，保留杯口和把手完整轮廓。
必须遵守：杯口厚度合理，避免把釉色纹理画成裂缝。
版本要求：用于印刷前视觉审阅。避免暗部完全糊成一片与高光大面积纯白溢出，保留边缘和细节；保持既有色板。本图仍是栅格概念，不声称已满足印刷色彩或出血规格。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
product-ceramic-accessible,手作陶器 · 清晰辨识,product,generate,variation,product-ceramic,accessible,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：一只带自然釉色变化的手作陶杯，置于浅色亚麻桌布。
构图与视觉：窗边侧光，近景浅景深，保留杯口和把手完整轮廓。
必须遵守：杯口厚度合理，避免把釉色纹理画成裂缝。
版本要求：用于清晰辨识的设计版本。相邻重要元素除颜色差异外，还需有轮廓或明度差异；必要文字与底色对比充分，不凭色彩单独编码语义。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
product-ceramic-balanced,手作陶器 · 均衡层次,product,generate,variation,product-ceramic,balanced,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：一只带自然釉色变化的手作陶杯，置于浅色亚麻桌布。
构图与视觉：窗边侧光，近景浅景深，保留杯口和把手完整轮廓。
必须遵守：杯口厚度合理，避免把釉色纹理画成裂缝。
版本要求：用于均衡层次的呈现。控制前中后景或主次信息的视觉权重，避免边缘装饰抢占注意力，保留全部关键对象、文字与关系。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
product-ceramic-clean,手作陶器 · 干净收尾,product,generate,variation,product-ceramic,clean,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：一只带自然釉色变化的手作陶杯，置于浅色亚麻桌布。
构图与视觉：窗边侧光，近景浅景深，保留杯口和把手完整轮廓。
必须遵守：杯口厚度合理，避免把釉色纹理画成裂缝。
版本要求：用于清理视觉瑕疵后的版本。重点消除不必要的重影、断裂边缘、融合物件和伪文字；不改变指定内容，不新增解释性元素。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
product-catalog-set,同系列商品套图,product,generate,original,product-catalog-set,base,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：同一款无品牌奶油白保温杯的三格商品展示板。
构图与视觉：左格正面、中格杯盖细节、右格侧面，统一尺度和中性背景。
必须遵守：三格产品结构、颜色、标识区域一致，不添加文字。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
product-catalog-set-editorial,同系列商品套图 · 编辑精选,product,generate,variation,product-catalog-set,editorial,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：同一款无品牌奶油白保温杯的三格商品展示板。
构图与视觉：左格正面、中格杯盖细节、右格侧面，统一尺度和中性背景。
必须遵守：三格产品结构、颜色、标识区域一致，不添加文字。
版本要求：用于编辑精选展示。保留主要内容和媒介，删减非必要的背景装饰，让主视觉与次要细节的层级更鲜明。不要删除任务要求的文字、对象或图解关系。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
product-catalog-set-thumbnail,同系列商品套图 · 缩略图优先,product,generate,variation,product-catalog-set,thumbnail,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：同一款无品牌奶油白保温杯的三格商品展示板。
构图与视觉：左格正面、中格杯盖细节、右格侧面，统一尺度和中性背景。
必须遵守：三格产品结构、颜色、标识区域一致，不添加文字。
版本要求：用于缩略图浏览。通过更清晰的轮廓、主体与背景明暗分离来提升识别度；弱化非必要微小纹理，保留所有必要文字和完整主体。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
product-catalog-set-detail,同系列商品套图 · 细节呈现,product,generate,variation,product-catalog-set,detail,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：同一款无品牌奶油白保温杯的三格商品展示板。
构图与视觉：左格正面、中格杯盖细节、右格侧面，统一尺度和中性背景。
必须遵守：三格产品结构、颜色、标识区域一致，不添加文字。
版本要求：用于近距离查看。提升材质边缘、结构交界和局部细节的可辨性；沿用原构图和对象数量，不通过堆叠装饰来增加细节。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
product-catalog-set-quiet,同系列商品套图 · 克制留白,product,generate,variation,product-catalog-set,quiet,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：同一款无品牌奶油白保温杯的三格商品展示板。
构图与视觉：左格正面、中格杯盖细节、右格侧面，统一尺度和中性背景。
必须遵守：三格产品结构、颜色、标识区域一致，不添加文字。
版本要求：用于安静、克制的视觉呈现。减少背景纹理和非必要装饰，强化负空间；保留必要的标签、关系、物件与原有视觉媒介。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
product-catalog-set-presentation,同系列商品套图 · 演示使用,product,generate,variation,product-catalog-set,presentation,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：同一款无品牌奶油白保温杯的三格商品展示板。
构图与视觉：左格正面、中格杯盖细节、右格侧面，统一尺度和中性背景。
必须遵守：三格产品结构、颜色、标识区域一致，不添加文字。
版本要求：用于演示页面。确保远距离观看时主体层次仍然明确，必要文字清楚，信息区域之间有充足间距；不添加新的标题、数据或图例。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
product-catalog-set-print,同系列商品套图 · 印刷审阅,product,generate,variation,product-catalog-set,print,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：同一款无品牌奶油白保温杯的三格商品展示板。
构图与视觉：左格正面、中格杯盖细节、右格侧面，统一尺度和中性背景。
必须遵守：三格产品结构、颜色、标识区域一致，不添加文字。
版本要求：用于印刷前视觉审阅。避免暗部完全糊成一片与高光大面积纯白溢出，保留边缘和细节；保持既有色板。本图仍是栅格概念，不声称已满足印刷色彩或出血规格。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
product-catalog-set-accessible,同系列商品套图 · 清晰辨识,product,generate,variation,product-catalog-set,accessible,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：同一款无品牌奶油白保温杯的三格商品展示板。
构图与视觉：左格正面、中格杯盖细节、右格侧面，统一尺度和中性背景。
必须遵守：三格产品结构、颜色、标识区域一致，不添加文字。
版本要求：用于清晰辨识的设计版本。相邻重要元素除颜色差异外，还需有轮廓或明度差异；必要文字与底色对比充分，不凭色彩单独编码语义。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
